entry_ts,entry_price,exit_ts,exit_price,qty,pnl,exit_reason,date,symbol
2025-07-02 13:45:00+00:00,211.87,2025-07-02 13:46:00+00:00,211.645,4.719875395289565,1.0619719639401253,target,2025-07-02,AAPL
2025-07-02 13:51:00+00:00,212.71,2025-07-02 13:56:00+00:00,212.535,4.701286350992616,0.8227251114237613,target,2025-07-02,AAPL
2025-07-02 13:52:00+00:00,212.92,2025-07-02 13:56:00+00:00,212.535,4.696649538416492,1.8082100722903065,target,2025-07-02,AAPL
2025-07-02 13:50:00+00:00,212.51,2025-07-02 14:01:00+00:00,212.255,4.705710882874404,1.1999562751329516,target,2025-07-02,AAPL
2025-07-02 13:49:00+00:00,212.2781,2025-07-02 14:06:00+00:00,212.145,4.710851565562531,0.6270143433763007,target,2025-07-02,AAPL
2025-07-02 13:48:00+00:00,212.07,2025-07-02 14:07:00+00:00,211.7777,4.715474228884988,1.3783331171030024,target,2025-07-02,AAPL
2025-07-02 19:04:00+00:00,212.8955,2025-07-02 19:05:00+00:00,212.7312,4.697464164854742,0.7717933622856211,target,2025-07-02,AAPL
2025-07-02 19:03:00+00:00,212.7681,2025-07-02 19:06:00+00:00,212.645,4.700276884123291,0.5786040844355478,target,2025-07-02,AAPL
2025-07-09 19:53:00+00:00,210.8845,2025-07-09 19:55:00+00:00,211.17,4.742323338525591,-1.3539333131489841,time,2025-07-09,AAPL
2025-07-09 19:54:00+00:00,210.885,2025-07-09 19:55:00+00:00,211.17,4.742312094664391,-1.3515589469793352,time,2025-07-09,AAPL
2025-07-09 19:55:00+00:00,211.17,2025-07-09 19:55:00+00:00,211.17,4.7359117586934705,0.0,time,2025-07-09,AAPL
2025-07-21 13:45:00+00:00,215.4,2025-07-21 13:47:00+00:00,214.7,4.642782874469354,3.2499480121286273,target,2025-07-21,AAPL
2025-07-21 13:46:00+00:00,215.545,2025-07-21 13:47:00+00:00,214.7,4.639659612427562,3.9205123725012845,target,2025-07-21,AAPL
