entry_ts,entry_price,exit_ts,exit_price,qty,pnl,exit_reason,date,symbol
2025-07-21 13:46:00+00:00,215.545,2025-07-21 13:47:00+00:00,214.7,4.639659612427562,3.920512372501285,target,2025-07-21,AAPL
2025-07-21 13:45:00+00:00,215.4,2025-07-21 13:47:00+00:00,214.7,4.642782874469354,3.2499480121286277,target,2025-07-21,AAPL
2025-07-31 14:36:00+00:00,536.28,2025-07-31 14:38:00+00:00,535.1,1.8648354995577336,2.2005058894780323,target,2025-07-31,MSFT
2025-07-31 14:41:00+00:00,535.9,2025-07-31 14:43:00+00:00,534.73,1.8662972371109028,2.18356776741968,target,2025-07-31,MSFT
2025-07-31 14:40:00+00:00,535.8372,2025-07-31 14:43:00+00:00,534.73,1.8665159667296949,2.066606478363182,target,2025-07-31,MSFT
